hospital_sample_size,strategy,estimand,target_parameter,reference_parameter,reference_target_discrepancy,mean_estimate,bias,bias_mcse,relative_bias_percent,empirical_sd,empirical_variance,rmse,rmse_mcse,mean_estimated_se,se_to_esd_ratio,target_coverage,target_coverage_mcse,reference_coverage,mean_interval_width,mean_half_width,mean_positive_cases,mean_hard_positive_cases,mean_observed_patients,mean_observed_priority_share,mean_observed_hard_share,non_estimable_rate,non_estimable_mcse,replications_estimable,pr_bias_pass,pr_precision_pass,pr_point_estimation_pass,interval_validity_pass,reference_interval_validity_pass,variance_method_compatible,full_evidential_pass
80,N2,national,0.8783980078854534,0.8783980078854534,0.0,0.8784724297129316,7.442182747808646e-05,0.0002222202898726023,0.00847244948303564,0.015713347388615736,0.00024690928615531696,0.01571195223091297,0.0001564904244485678,0.015557015263590665,0.9900509979726959,0.9412,0.0033269373303385194,0.9412,0.061286756139720594,0.030643378069860297,962.6426,317.0936,5118.0178,0.24491095574120292,0.20646342879942517,0.0,0.0,5000,True,False,False,True,True,True,False
80,N3,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571,0.942580188907929,-0.005423525112498177,0.00014706691803838018,-0.572099563776742,0.010399201503314482,0.00010814339190653818,0.01172759088108275,0.00011997912901230801,0.010387143898276732,0.9988405258775006,0.911,0.004026884651936282,0.9486,0.04138722887572048,0.02069361443786024,615.9846,473.1764,5083.13,0.49340799026539733,0.2912103114049708,0.0,0.0,5000,True,True,True,False,True,True,False
80,N3,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071,0.7107491168408008,-0.02602670179899766,0.0004074889897675277,-3.5325130304964345,0.028813822792347454,0.0008302363839088017,0.03882601631851982,0.00035389863484498144,0.02832805366548316,0.9831411079895547,0.8384,0.00520548633654916,0.9412,0.11072377967165585,0.055361889835827925,473.1764,473.1764,5083.13,0.49340799026539733,0.2912103114049708,0.0,0.0,5000,True,False,False,False,True,True,False
80,N3,national,0.8783980078854534,0.8418798188716191,-0.0365181890138343,0.8419232295745008,-0.036474778310952645,0.00022429075512585118,-4.152420427131604,0.015859751390694076,0.0002515317141746227,0.03977299159813012,0.00021659520534192425,0.015731962744023345,0.991942581978573,0.2902,0.006418472715529762,0.943,0.061780130688681746,0.030890065344340873,1089.161,473.1764,5083.13,0.49340799026539733,0.2912103114049708,0.0,0.0,5000,False,False,False,False,True,True,False
80,N4,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571,0.9480053046790902,1.590658663003941e-06,0.00015403019694904267,0.00016779034084772224,0.010891579677016754,0.00011862650786080437,0.010890490580751044,0.00011086596087044378,0.010829985097993586,0.9943447524739553,0.9442,0.0032461164489278557,0.9192,0.04341427566585986,0.02170713783292993,615.9846,473.1764,5083.13,0.49340799026539733,0.2912103114049708,0.0,0.0,5000,True,True,True,True,False,True,True
80,N4,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071,0.7363119873814449,-0.00046383125835361926,0.00038585873759243807,-0.06295419130474764,0.027284332993169357,0.00074443482688215,0.027285547078132764,0.0002691831178700797,0.027399862506690915,1.0042342802937672,0.947,0.0031683118533376744,0.8494,0.10717622928750217,0.053588114643751086,473.1764,473.1764,5083.13,0.49340799026539733,0.2912103114049708,0.0,0.0,5000,True,False,False,True,False,True,False
80,N4,national,0.8783980078854534,0.8418798188716191,-0.0365181890138343,0.8782982371073236,-9.977077812984616e-05,0.0001904561677409892,-0.011358265528176911,0.013467284772845605,0.0001813677591529191,0.013466307578889511,0.0001324377356127997,0.01346173838772296,0.9995881586217121,0.947,0.0031683118533376744,0.318,0.052963660710912165,0.026481830355456083,1089.161,473.1764,5083.13,0.49340799026539733,0.2912103114049708,0.0,0.0,5000,True,True,True,True,False,True,True
80,N5,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571,0.9480053046790902,1.590658663003941e-06,0.00015403019694904267,0.00016779034084772224,0.010891579677016754,0.00011862650786080437,0.010890490580751044,0.00011086596087044378,0.009556665105067879,0.877436091775944,0.9158,0.003927094600337508,0.8886,0.038116189945746067,0.019058094972873033,615.9846,473.1764,5083.13,0.49340799026539733,0.2912103114049708,0.0,0.0,5000,True,True,True,False,False,False,False
80,N5,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071,0.7363119873814449,-0.00046383125835361926,0.00038585873759243807,-0.06295419130474764,0.027284332993169357,0.00074443482688215,0.027285547078132764,0.0002691831178700797,0.02223461688099076,0.8149225010029457,0.8954,0.004328021256879407,0.7506,0.08703832837220052,0.04351916418610026,473.1764,473.1764,5083.13,0.49340799026539733,0.2912103114049708,0.0,0.0,5000,True,False,False,False,False,False,False
80,N5,national,0.8783980078854534,0.8418798188716191,-0.0365181890138343,0.8782982371073236,-9.977077812984616e-05,0.0001904561677409892,-0.011358265528176911,0.013467284772845605,0.0001813677591529191,0.013466307578889511,0.0001324377356127997,0.010153315278377045,0.7539244509664939,0.8614,0.0048865128670658375,0.161,0.03988337804357634,0.01994168902178817,1089.161,473.1764,5083.13,0.49340799026539733,0.2912103114049708,0.0,0.0,5000,True,True,True,False,False,False,False
120,N1,easy,0.9480037140204272,0.9480037140204272,0.0,0.9479580396243454,-4.567439608162655e-05,8.418491754152632e-05,-0.004817955394702428,0.00595277260672436,3.5435501707367933e-05,0.005952352539751311,5.856031083170828e-05,0.005959921660416479,1.0012009619994628,0.9494,0.0030996657884359074,0.9494,0.02351814942267182,0.01175907471133591,969.2028,1585.6894,7676.0,0.2450029181865555,0.20657756644085457,0.0,0.0,5000,True,True,True,True,True,True,True
120,N1,hard,0.7367758186397985,0.7367758186397985,0.0,0.7370512227984871,0.00027540415868862694,0.00023883435681671221,0.037379641367311076,0.016888139328542474,0.0002852092499802631,0.016888696088830837,0.0001703502501662054,0.016863760352703896,0.9985564439418512,0.949,0.0031112376958374634,0.949,0.0660530048779634,0.0330265024389817,476.6664,1585.6894,7676.0,0.2450029181865555,0.20657756644085457,0.0,0.0,5000,True,False,False,True,True,True,False
120,N1,national,0.8783980078854534,0.8783980078854534,0.0,0.8784255520770036,2.754419155005108e-05,0.00010173505156592343,0.003135730193236384,0.007193754484662755,5.1750103585605504e-05,0.007193087810347968,7.071572737849679e-05,0.00718784461522084,0.9991784721796504,0.949,0.0031112376958374634,0.949,0.028205318501670604,0.014102659250835302,1445.8692,1585.6894,7676.0,0.2450029181865555,0.20657756644085457,0.0,0.0,5000,True,True,True,True,True,True,True
120,N2,easy,0.9480037140204272,0.948003714020427,-1.1102230246251565e-16,0.9479831360777408,-2.057794268649955e-05,0.00011126058241569076,-0.0021706605556669947,0.00786731123048997,6.18945859973936e-05,0.007866551374771496,7.694214491964652e-05,0.007607357118681813,0.9669576931441713,0.94,0.0033585711247493344,0.94,0.03014838575941967,0.015074192879709835,969.194,477.0994,7674.87,0.2452356888660477,0.2067006238916917,0.0,0.0,5000,True,True,True,True,True,True,True
120,N2,hard,0.7367758186397985,0.7367758186397986,1.1102230246251565e-16,0.7370264532302484,0.00025063459044987813,0.00039226847936672007,0.03401775466960739,0.027737570180594306,0.0007693727995233945,0.027735928732628003,0.0002741688042344819,0.027229286288190786,0.9816752552911384,0.9388,0.003389824774232439,0.9388,0.10651122640693127,0.053255613203465633,477.0994,477.0994,7674.87,0.2452356888660477,0.2067006238916917,0.0,0.0,5000,True,False,False,True,True,True,False
120,N2,national,0.8783980078854534,0.8783980078854536,2.220446049250313e-16,0.878427244643596,2.9236758142685603e-05,0.00017388960920509806,0.003328418083855467,0.012295852184680354,0.00015118798094750863,0.012294657300606056,0.00011921862966521848,0.011910059428014583,0.9686241546440809,0.9384,0.003400159996235471,0.9384,0.04682186314842682,0.02341093157421341,1446.2934,477.0994,7674.87,0.2452356888660477,0.2067006238916917,0.0,0.0,5000,True,True,True,True,True,True,True
120,N3,easy,0.9480037140204272,0.9424367020125514,-0.005567012007875793,0.9423863738036549,-0.005617340216772262,0.00010769563827753596,-0.5925441149327841,0.007615231613025919,5.7991752520029344e-05,0.009462275903845352,8.876303611212129e-05,0.007588139095426417,0.9964423252008303,0.8682,0.004783905517461649,0.9492,0.02999987972606873,0.014999939863034365,923.7638,710.5064,7624.1956,0.4933681415813193,0.2913402721938911,0.0,0.0,5000,True,True,True,False,True,True,False
