hospital_sample_size,strategy,estimand,target_parameter,reference_parameter,reference_target_discrepancy,mean_estimate,bias,bias_mcse,relative_bias_percent,empirical_sd,empirical_variance,rmse,rmse_mcse,mean_estimated_se,se_to_esd_ratio,target_coverage,reference_coverage,mean_interval_width,mean_half_width,mean_positive_cases,mean_hard_positive_cases,mean_observed_patients,mean_observed_priority_share,mean_observed_hard_share,replications_estimable,target_coverage_mcse,non_estimable_rate,non_estimable_mcse,pr_bias_pass,pr_precision_pass,interval_validity_pass,reference_interval_validity_pass,variance_method_compatible,pr_point_estimation_pass,full_evidential_pass
80,N4,easy,0.948003714020427,0.942436702012551,-0.00556701200787579,0.947813213954624,-0.000190500065803297,0.000154965101170172,-0.0200948649236191,0.0109576873884688,0.000120070912903409,0.0109582475330638,0.000110860743319344,0.0108240739588335,0.987806420743854,0.9406,0.9174,0.043379576206538,0.021689788103269,616.6594,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00334280241713446,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
80,N4,hard,0.736775818639798,0.710985915492958,-0.0257899031468407,0.736435069707931,-0.000340748931867288,0.000385428369357599,-0.0462486584448935,0.0272539013634432,0.000742775139528289,0.0272533061175145,0.000289464017514573,0.0273641840583013,1.00404649203751,0.9422,0.856,0.107037720973036,0.0535188604865182,473.5384,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00330027756408457,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
80,N4,national,0.878398007885453,0.841879818871619,-0.0365181890138343,0.878187274823741,-0.000210733061712056,0.000190338986787711,-0.0239906124353981,0.0134589988281767,0.000181144649456862,0.0134593026918288,0.000134427365526539,0.0134648559622113,1.00043518348648,0.9492,0.3186,0.0529750519502078,0.0264875259751039,1090.1978,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00310545842026584,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
80,N5,easy,0.948003714020427,0.942436702012551,-0.00556701200787579,0.947813213954624,-0.000190500065803297,0.000154965101170172,-0.0200948649236191,0.0109576873884688,0.000120070912903409,0.0109582475330638,0.000110860743319344,0.00956602698666538,0.872996887713011,0.9132,0.889,0.0381495962528871,0.0190747981264435,616.6594,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00398160168776336,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
80,N5,hard,0.736775818639798,0.710985915492958,-0.0257899031468407,0.736435069707931,-0.000340748931867288,0.000385428369357599,-0.0462486584448935,0.0272539013634432,0.000742775139528289,0.0272533061175145,0.000289464017514573,0.0222111436824108,0.814971162704932,0.893,0.7518,0.0869467309714805,0.0434733654857402,473.5384,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00437152147426957,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,N5,national,0.878398007885453,0.841879818871619,-0.0365181890138343,0.878187274823741,-0.000210733061712056,0.000190338986787711,-0.0239906124353981,0.0134589988281767,0.000181144649456862,0.0134593026918288,0.000134427365526539,0.0101502154977464,0.754158286758795,0.8634,0.1554,0.0398708595077582,0.0199354297538791,1090.1978,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00485675694265217,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
120,N1,easy,0.948003714020427,0.948003714020427,0,0.947930225858749,-7.34881616778529e-05,8.4309190089741e-05,-0.00775188541890769,0.00596156000288016,3.55401976679404e-05,0.00596141678951519,5.84067777438466e-05,0.00596092464742374,0.999893424631119,0.9516,0.9516,0.0235219793698209,0.0117609896849105,969.3502,476.356,7676,0.244976211568525,0.206562219906201,5000,0.00303504332753257,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
120,N1,hard,0.736775818639798,0.736775818639798,0,0.736973820095852,0.000198001456053623,0.000238900479418848,0.026874043778902,0.0168928149025784,0.000285367195332776,0.0168922860048695,0.00016603871816494,0.0168713913344882,0.998731794066659,0.9514,0.9514,0.0660827686137068,0.0330413843068534,476.356,476.356,7676,0.244976211568525,0.206562219906201,5000,0.0030409879973456,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120,N1,national,0.878398007885453,0.878398007885453,0,0.878427122259802,2.91143743481462e-05,0.000101721895487914,0.00331448547091227,0.00719282420946531,5.17367201082702e-05,0.00719216381981405,7.18378246846131e-05,0.00718820140449855,0.999357303218855,0.949,0.949,0.0282067243834266,0.0141033621917133,1445.7062,476.356,7676,0.244976211568525,0.206562219906201,5000,0.00311123769583746,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
120,N2,easy,0.948003714020427,0.948003714020427,0,0.947942763566883,-6.09504535439304e-05,0.000108116090305105,-0.00642934754816974,0.00764496206101171,5.84454449143084e-05,0.00764444051472132,7.67767522806541e-05,0.007632947449034,0.998428427521049,0.9474,0.9474,0.030250811190795,0.0151254055953975,968.729,475.8778,7672.1832,0.244973287429726,0.206537437143279,5000,0.00315699984162179,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
120,N2,hard,0.736775818639798,0.736775818639799,1.11022302462516e-16,0.737195992956716,0.000420174316917247,0.00039071880009325,0.0570287876294519,0.0276279913083008,0.000763305903731545,0.0276284235707974,0.000273358806480312,0.0272732082847068,0.987158566121042,0.9436,0.9436,0.106682473485509,0.0533412367427544,475.8778,475.8778,7672.1832,0.244973287429726,0.206537437143279,5000,0.00326248494249399,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
120,N2,national,0.878398007885453,0.878398007885453,0,0.87855925765424,0.000161249768786778,0.000170947308866875,0.0183572557473065,0.0120878001325359,0.000146114912044134,0.0120876668778412,0.000119940857739398,0.0119331230998309,0.987203872416066,0.9448,0.9448,0.0469134549134178,0.0234567274567089,1444.6068,475.8778,7672.1832,0.244973287429726,0.206537437143279,5000,0.00322964270469661,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
